timestamp,datetime,BMSA_PackVoltage,BMSA_PackCurrent,BMSA_PackSOC,BMSA_PackSOH,BMSA_Gateway2PLCState1,BMSA_Gateway2PLCState2,BMSA_PackChargeCurrentLimit,BMSA_PackDischargeCurrentLimit,BMSA_PackFaultCode,BMSA_InternalState,BMSA_PackAverageTemperature,BMSA_PackMaxTemperature,BMSA_PackMinTemperature,BMSA_SupplementaryState,BMSA_ReportableState,BMSA_PackChargingCurrentTarget,BMSA_PackChargingVoltageTarget,BMSB_PackVoltage,BMSB_PackCurrent,BMSB_PackSOC,BMSB_PackSOH,BMSB_Gateway2PLCState1,BMSB_Gateway2PLCState2,BMSB_PackChargeCurrentLimit,BMSB_PackDischargeCurrentLimit,BMSB_PackFaultCode,BMSB_InternalState,BMSB_PackAverageTemperature,BMSB_PackMaxTemperature,BMSB_PackMinTemperature,BMSB_SupplementaryState,BMSB_ReportableState,BMSB_PackChargingCurrentTarget,BMSB_PackChargingVoltageTarget
1782120981.264133,"=""2026-06-22 16:36:21.264""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.313892,"=""2026-06-22 16:36:21.313""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.315527,"=""2026-06-22 16:36:21.315""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.364938,"=""2026-06-22 16:36:21.364""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.369676,"=""2026-06-22 16:36:21.369""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.416241,"=""2026-06-22 16:36:21.416""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.417267,"=""2026-06-22 16:36:21.417""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.466861,"=""2026-06-22 16:36:21.466""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.468136,"=""2026-06-22 16:36:21.468""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.504255,"=""2026-06-22 16:36:21.504""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.517716,"=""2026-06-22 16:36:21.517""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.51922,"=""2026-06-22 16:36:21.519""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.530213,"=""2026-06-22 16:36:21.530""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.571358,"=""2026-06-22 16:36:21.571""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.571827,"=""2026-06-22 16:36:21.571""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.620238,"=""2026-06-22 16:36:21.620""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.621092,"=""2026-06-22 16:36:21.621""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.671549,"=""2026-06-22 16:36:21.671""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.672048,"=""2026-06-22 16:36:21.672""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.72221,"=""2026-06-22 16:36:21.722""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.723292,"=""2026-06-22 16:36:21.723""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.773093,"=""2026-06-22 16:36:21.773""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.774285,"=""2026-06-22 16:36:21.774""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.823892,"=""2026-06-22 16:36:21.823""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.825434,"=""2026-06-22 16:36:21.825""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.874801,"=""2026-06-22 16:36:21.874""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.876216,"=""2026-06-22 16:36:21.876""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.92597,"=""2026-06-22 16:36:21.925""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.927196,"=""2026-06-22 16:36:21.927""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.977196,"=""2026-06-22 16:36:21.977""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.978115,"=""2026-06-22 16:36:21.978""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120982.005267,"=""2026-06-22 16:36:22.005""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120982.028051,"=""2026-06-22 16:36:22.028""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120982.02927,"=""2026-06-22 16:36:22.029""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120982.030905,"=""2026-06-22 16:36:22.030""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120982.078982,"=""2026-06-22 16:36:22.078""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
