timestamp,arbitration_id,extended,remote,error,dlc,data
1779864331.9531512,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864331.9570436,0x256,0,0,0,8,AAATgAAAAAA=
1779864331.9587762,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864331.961312,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864331.9658222,0x3e4,0,0,0,8,AAAAAAAAE8A=
1779864331.9670773,0x4e1,0,0,0,8,AAAAAAAAAAA=
1779864331.968792,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864331.9707732,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.9739065,0x777,0,0,0,1,BQ==
1779864331.9772613,0x4e5,0,0,0,8,AAAAAAAA//8=
1779864331.977814,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.9894693,0x28a,0,0,0,6,JP0DAAAA
1779864331.9921222,0x1e6,0,0,0,8,AQAAgQACAQA=
1779864331.9947805,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864332.0006552,0x756,0,0,0,1,BQ==
1779864332.0023222,0x262,0,0,0,8,AAACAAAAAAA=
1779864332.0056405,0x762,0,0,0,1,BQ==
1779864332.0075483,0x766,0,0,0,1,BQ==
1779864332.0098903,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864332.0137877,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864332.0227308,0x3e0,0,0,0,8,BAAAAAAAE8A=
1779864332.0247514,0x708,0,0,0,1,BQ==
1779864332.0356603,0x1ce,0,0,0,8,AAAAgQACAQA=
1779864332.0387437,0x3e0,0,0,0,8,AAAAAAAAA8A=
1779864332.0437903,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864332.045789,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864332.048001,0x266,0,0,0,8,AAACgAAAAAA=
1779864332.0508225,0x1e0,0,0,0,8,AAAAAAABAAA=
1779864332.054731,0x3e0,0,0,0,8,/f8AAAAAE8A=
1779864332.0572748,0x4e5,0,0,0,8,AAAAAAAA//8=
1779864332.0578194,0x1e4,0,0,0,8,AAAAAAEAAAA=
1779864332.0606444,0x767,0,0,0,1,BQ==
1779864332.062999,0x4e1,0,0,0,8,AAAAAAAAAAA=
1779864332.0646763,0x756,0,0,0,1,BQ==
1779864332.0696242,0x762,0,0,0,1,BQ==
1779864332.0715337,0x766,0,0,0,1,BQ==
1779864332.0747917,0x1de,0,0,0,8,AAAAAQABAQA=
1779864332.086719,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864332.0912726,0x26a,0,0,0,8,AAACAAAAAAA=
1779864332.0957267,0x3e8,0,0,0,8,AAAAAAAAE8A=
1779864332.101827,0x777,0,0,0,1,BQ==
1779864332.1068394,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864332.109798,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864332.1104884,0x773,0,0,0,1,BQ==
1779864332.1128666,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864332.1158044,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864332.1187391,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864332.12134,0x4e5,0,0,0,8,AP8AAAAAAAA=
1779864332.1218345,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864332.1246326,0x767,0,0,0,1,BQ==
1779864332.128798,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864332.1303623,0x752,0,0,0,1,BQ==
1779864332.1336575,0x762,0,0,0,1,BQ==
1779864332.134711,0x3e0,0,0,0,8,AAAAAAAAA8A=
1779864332.1435657,0x4e1,0,0,0,8,AAAAAAAA//8=
1779864332.1467834,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864332.1530976,0x25a,0,0,0,8,AAACgAAAAAA=
1779864332.1541045,0x1e4,0,0,0,8,AAAAAAEAAAA=
1779864332.157198,0x70b,0,0,0,1,BQ==
1779864332.1608138,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864332.1628013,0x1e0,0,0,0,8,AAAAAAABAAA=
1779864332.1658442,0x777,0,0,0,1,BQ==
1779864332.1667383,0x3e0,0,0,0,8,AAAAAAAAA8A=
1779864332.1692853,0x4e5,0,0,0,8,AP8AAAAA//8=
1779864332.171748,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864332.1812725,0x1ea,0,0,0,8,AAAAYAAAAAA=
1779864332.1840048,0x1da,0,0,0,8,AgAAAQABAQA=
1779864332.1864169,0x772,0,0,0,1,BQ==
1779864332.1916783,0x3e8,0,0,0,8,AgAAAAAAE8A=
1779864332.1938455,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864332.1963804,0x70a,0,0,0,1,BQ==
1779864332.1985056,0x26a,0,0,0,8,AAACAAAAAAA=
1779864332.201416,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864332.20375,0x1e8,0,0,0,8,AAAAAAEAAAA=
1779864332.2058022,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864332.2087939,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864332.2099974,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864332.219047,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864332.2286482,0x80,0,0,0,0,
1779864332.2314463,0x3e0,0,0,0,8,AAAAAAAAA8A=
1779864332.2377985,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864332.240085,0x74f,0,0,0,1,BQ==
1779864332.2423184,0x76b,0,0,0,1,BQ==
1779864332.2447283,0x24e,0,0,0,8,AAATgAAAAAA=
1779864332.2467706,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864332.2498577,0x1e4,0,0,0,8,AAAAAAEAAAA=
1779864332.2526417,0x767,0,0,0,1,BQ==
1779864332.2545981,0x75e,0,0,0,1,BQ==
1779864332.2575836,0x76e,0,0,0,1,BQ==
1779864332.2597837,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864332.2627494,0x3e0,0,0,0,8,AAAAAAAAA8A=
1779864332.2653568,0x4e5,0,0,0,8,AAAAAAAA//8=
1779864332.277393,0x4,0,0,1,8,AAQAAAAAAAA=
1779864332.2792602,0x1d6,0,0,0,8,AAAAAQABAQA=
1779864332.2858007,0x3e4,0,0,0,8,AAAAAAAAE8A=
1779864332.2876945,0x3e8,0,0,0,8,AAAAAAAAE8A=
1779864332.2901182,0x24e,0,0,0,8,AAATAAAAAAA=
1779864332.2927666,0x26e,0,0,0,8,AAACAAAAAAA=
1779864332.2972705,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864332.2978618,0x1e4,0,0,0,8,AAAAAAEAAAA=
1779864332.2997723,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864332.3018265,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864332.3040137,0x74f,0,0,0,1,BQ==
1779864332.3078406,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864332.3090503,0x763,0,0,0,1,BQ==
1779864332.311007,0x76f,0,0,0,1,BQ==
1779864332.313273,0x4e5,0,0,0,8,AAAAAAAA//8=
1779864332.3155262,0x74e,0,0,0,1,BQ==
1779864332.3186107,0x75e,0,0,0,1,BQ==
1779864332.3208568,0x4e9,0,0,0,8,AAAAAAEA//8=
1779864332.3237748,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864332.3308766,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864332.33381,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864332.346829,0x26a,0,0,0,8,AAACgAAAAAA=
1779864332.3498254,0x3e4,0,0,0,8,AAAAAAAAE8A=
1779864332.3516989,0x3e8,0,0,0,8,AAAAAAAAE8A=
1779864332.3578885,0x777,0,0,0,1,BQ==
1779864332.3587677,0x3e0,0,0,0,8,/P8AAAAAA8A=
1779864332.3747013,0x28e,0,0,0,6,8/8DAAAA
1779864332.3835928,0x24a,0,0,0,8,AAALAAAAAAA=
1779864332.385885,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864332.3896863,0x762,0,0,0,1,BQ==
1779864332.3907585,0x3e0,0,0,0,8,AwAAAAAAA8A=
1779864332.3932574,0x4e5,0,0,0,8,AAAAAAAA//8=
1779864332.3957798,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864332.397271,0x70b,0,0,0,1,BQ==
1779864332.4007807,0x4e9,0,0,0,8,AP8AAAAAAAA=
1779864332.401991,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864332.4067574,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864332.40928,0x4e5,0,0,0,8,AP8AAAAAAAA=
1779864332.4098818,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864332.4108303,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864332.4136393,0x188,0,0,0,8,iAABAAABAAA=
1779864332.4216247,0x777,0,0,0,1,BQ==
1779864332.4253144,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864332.4268794,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864332.429846,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864332.4304485,0x773,0,0,0,1,BQ==
1779864332.4412878,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864332.4435525,0x74e,0,0,0,1,BQ==
1779864332.4457674,0x1ca,0,0,0,8,AAAAgQACAQA=
1779864332.450882,0x756,0,0,0,1,BQ==
1779864332.457271,0x4e5,0,0,0,8,AP8AAAAA//8=
1779864332.4630384,0x4e1,0,0,0,8,AAAAAAAAAAA=
1779864332.4647858,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864332.4732552,0x4e5,0,0,0,8,AP8AAP8A//8=
1779864332.4748428,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864332.4810436,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864332.494771,0x1de,0,0,0,8,AAAAgQABAQA=
1779864332.4970317,0x4e1,0,0,0,8,AAAAAAAA//8=
