timestamp,PrimaryPLC.System.TMS/ClntReserv,PrimaryPLC.System.TMS/ClntReservoir,PrimaryPLC.System.TMS/ClntTemp,PrimaryPLC.System.TMS/ClntTempCold,PrimaryPLC.System.TMS/ClntTempHot
259259,0,1,22.4114,0,0
259268,0,1,22.4114,0,0
259277,0,1,22.4114,0,0
259286,0,1,22.4114,0,0
259295,0,1,22.4114,0,0
259304,0,1,22.4428,0,0
259313,0,1,22.4428,0,0
259322,0,1,22.4428,0,0
259331,0,1,22.4114,0,0
259340,0,1,22.4114,0,0
259349,0,1,22.4114,0,0
259358,0,1,22.4114,0,0
259367,0,1,22.4428,0,0
259376,0,1,22.4428,0,0
259385,0,1,22.4428,0,0
259394,0,1,22.4428,0,0
259403,0,1,22.4428,0,0
259412,0,1,22.4428,0,0
259421,0,1,22.4742,0,0
259430,0,1,22.4428,0,0
259439,0,1,22.4742,0,0
259448,0,1,22.4742,0,0
259457,0,1,22.5684,0,0
259466,0,1,22.4428,0,0
259475,0,1,22.5684,0,0
259484,0,1,22.5056,0,0
259493,0,1,22.4742,0,0
259502,0,1,22.6626,0,0
259511,0,1,22.6312,0,0
259520,0,1,22.694,0,0
259529,0,1,22.7254,0,0
259538,0,1,22.694,0,0
259547,0,1,22.7254,0,0
259556,0,1,22.7254,0,0
259565,0,1,22.694,0,0
259574,0,1,22.7254,0,0
259583,0,1,22.7254,0,0
259592,0,1,22.7254,0,0
259601,0,1,22.7254,0,0
259610,0,1,22.7254,0,0
259619,0,1,22.7254,0,0
259628,0,1,22.7568,0,0
259637,0,1,22.7568,0,0
259646,0,1,22.7568,0,0
259655,0,1,22.7254,0,0
259664,0,1,22.7254,0,0
259673,0,1,22.7254,0,0
259682,0,1,22.694,0,0
259691,0,1,22.7254,0,0
259700,0,1,22.7254,0,0
259709,0,1,22.7254,0,0
259718,0,1,22.7568,0,0
259727,0,1,22.7568,0,0
259736,0,1,22.7568,0,0
259745,0,1,22.7568,0,0
259754,0,1,22.7568,0,0
259763,0,1,22.7568,0,0
259772,0,1,22.7882,0,0
259781,0,1,22.7568,0,0
259790,0,1,22.694,0,0
259799,0,1,22.8196,0,0
259808,0,1,22.7568,0,0
259817,0,1,22.7882,0,0
259826,0,1,22.7568,0,0
259835,0,1,22.7882,0,0
259844,0,1,22.7568,0,0
259853,0,1,22.7568,0,0
259862,0,1,22.8824,0,0
259871,0,1,22.9138,0,0
259880,0,1,22.9452,0,0
259889,0,1,22.851,0,0
259898,0,1,23.008,0,0
259907,0,1,22.9452,0,0
259916,0,1,22.9766,0,0
259925,0,1,23.008,0,0
259934,0,1,23.008,0,0
259943,0,1,22.9138,0,0
259952,0,1,22.9766,0,0
259961,0,1,22.9766,0,0
259970,0,1,23.008,0,0
259979,0,1,22.9766,0,0
259988,0,1,23.008,0,0
259997,0,1,23.0394,0,0
260006,0,1,23.0394,0,0
260015,0,1,23.008,0,0
260024,0,1,23.0394,0,0
260033,0,1,23.0394,0,0
260042,0,1,23.0394,0,0
260051,0,1,23.008,0,0
260060,0,1,23.0394,0,0
260069,0,1,23.008,0,0
260078,0,1,23.0394,0,0
260087,0,1,23.0394,0,0
260096,0,1,23.0394,0,0
260105,0,1,23.008,0,0
260114,0,1,23.008,0,0
260123,0,1,23.0708,0,0
260132,0,1,23.0394,0,0
260141,0,1,23.0394,0,0
260150,0,1,23.0394,0,0
260159,0,1,23.008,0,0
260168,0,1,23.0394,0,0
260177,0,1,23.0394,0,0
260186,0,1,23.0708,0,0
260195,0,1,23.0394,0,0
260204,0,1,23.008,0,0
260213,0,1,23.1336,0,0
260222,0,1,23.0394,0,0
260231,0,1,23.0394,0,0
260240,0,1,23.165,0,0
260249,0,1,23.0708,0,0
260258,0,1,23.0394,0,0
260267,0,1,23.2592,0,0
260276,0,1,23.0708,0,0
260285,0,1,23.1964,0,0
260294,0,1,23.2592,0,0
260303,0,1,23.3534,0,0
260312,0,1,23.322,0,0
260321,0,1,23.2906,0,0
260330,0,1,23.3534,0,0
260339,0,1,23.2906,0,0
260348,0,1,23.3534,0,0
260357,0,1,23.2906,0,0
260366,0,1,23.2906,0,0
260375,0,1,23.322,0,0
260384,0,1,23.322,0,0
260393,0,1,23.2906,0,0
260402,0,1,23.322,0,0
260411,0,1,23.3534,0,0
260418,0,1,23.3534,0,0
260426,0,1,23.3534,0,0
260435,0,1,23.3534,0,0
260444,0,1,23.322,0,0
260453,0,1,23.3534,0,0
260462,0,1,23.322,0,0
260471,0,1,23.3534,0,0
260480,0,1,23.322,0,0
260489,0,1,23.3534,0,0
260498,0,1,23.3534,0,0
260507,0,1,23.322,0,0
260516,0,1,23.3534,0,0
260525,0,1,23.322,0,0
260534,0,1,23.3534,0,0
260543,0,1,23.3534,0,0
260552,0,1,23.3534,0,0
260561,0,1,23.3534,0,0
260570,0,1,23.3534,0,0
260579,0,1,23.3534,0,0
260588,0,1,23.3534,0,0
260597,0,1,23.3534,0,0
260606,0,1,23.3534,0,0
260615,0,1,23.3534,0,0
260624,0,1,23.2906,0,0
260633,0,1,23.3534,0,0
260642,0,1,23.322,0,0
260651,0,1,23.3534,0,0
260660,0,1,23.3534,0,0
260669,0,1,23.3534,0,0
260678,0,1,23.3534,0,0
260687,0,1,23.3534,0,0
260696,0,1,23.3534,0,0
260705,0,1,23.3534,0,0
260714,0,1,23.3534,0,0
260723,0,1,23.3534,0,0
260732,0,1,23.3534,0,0
260741,0,1,23.3848,0,0
260750,0,1,23.5104,0,0
260759,0,1,23.3534,0,0
260768,0,1,23.3534,0,0
260777,0,1,23.3848,0,0
260786,0,1,23.5418,0,0
260795,0,1,23.5732,0,0
260804,0,1,23.5732,0,0
260813,0,1,23.5732,0,0
260822,0,1,23.5418,0,0
260831,0,1,23.6046,0,0
260840,0,1,23.6046,0,0
260849,0,1,23.6046,0,0
260858,0,1,23.6046,0,0
260867,0,1,23.6046,0,0
260876,0,1,23.6046,0,0
260885,0,1,23.5732,0,0
260894,0,1,23.636,0,0
260903,0,1,23.5418,0,0
260912,0,1,23.6046,0,0
260921,0,1,23.6046,0,0
260930,0,1,23.6046,0,0
260939,0,1,23.6046,0,0
260948,0,1,23.6674,0,0
260957,0,1,23.6046,0,0
260966,0,1,23.6046,0,0
260975,0,1,23.6046,0,0
260984,0,1,23.636,0,0
260993,0,1,23.6046,0,0
261002,0,1,23.6046,0,0
261011,0,1,23.6046,0,0
261020,0,1,23.6046,0,0
261029,0,1,23.636,0,0
261038,0,1,23.636,0,0
261047,0,1,23.636,0,0
261056,0,1,23.6046,0,0
261065,0,1,23.6046,0,0
261074,0,1,23.6674,0,0
261083,0,1,23.6674,0,0
261092,0,1,23.6046,0,0
261101,0,1,23.636,0,0
261110,0,1,23.636,0,0
261119,0,1,23.636,0,0
261128,0,1,23.636,0,0
261137,0,1,23.6988,0,0
261146,0,1,23.636,0,0
261155,0,1,23.6046,0,0
261164,0,1,23.6988,0,0
261173,0,1,23.8244,0,0
261182,0,1,23.636,0,0
261191,0,1,23.793,0,0
261200,0,1,23.636,0,0
261209,0,1,23.8872,0,0
261218,0,1,23.8872,0,0
261227,0,1,23.8558,0,0
261236,0,1,23.8244,0,0
261245,0,1,23.9186,0,0
261254,0,1,23.9186,0,0
261263,0,1,23.8872,0,0
261272,0,1,23.9186,0,0
261281,0,1,23.8872,0,0
261290,0,1,23.9186,0,0
261299,0,1,23.9186,0,0
261308,0,1,23.8558,0,0
261317,0,1,23.8872,0,0
261326,0,1,23.8872,0,0
261335,0,1,23.8872,0,0
261344,0,1,23.8872,0,0
261353,0,1,23.9186,0,0
261362,0,1,23.8558,0,0
261371,0,1,23.9186,0,0
261380,0,1,23.9186,0,0
261389,0,1,23.8872,0,0
261398,0,1,23.8558,0,0
261407,0,1,23.8872,0,0
261416,0,1,23.9186,0,0
261425,0,1,23.8872,0,0
261434,0,1,23.8872,0,0
261443,0,1,23.9186,0,0
261452,0,1,23.9186,0,0
261461,0,1,23.8872,0,0
261470,0,1,23.9186,0,0
261479,0,1,23.8872,0,0
261488,0,1,23.9186,0,0
261497,0,1,23.8872,0,0
261506,0,1,23.9186,0,0
261515,0,1,23.9186,0,0
261524,0,1,23.9186,0,0
261533,0,1,23.9186,0,0
261542,0,1,23.8872,0,0
261551,0,1,23.8872,0,0
261560,0,1,23.95,0,0
261569,0,1,23.9186,0,0
261578,0,1,23.9186,0,0
261587,0,1,23.9186,0,0
261596,0,1,23.9186,0,0
261605,0,1,23.95,0,0
261614,0,1,23.9186,0,0
261623,0,1,23.9186,0,0
261632,0,1,23.95,0,0
261641,0,1,23.9186,0,1
261650,0,1,23.9186,0,1
261659,0,1,23.95,0,1
261668,0,1,23.9814,0,1
261677,0,1,23.9186,0,1
261686,0,1,23.9186,0,1
261695,0,1,23.9186,0,1
261704,0,1,24.0128,0,1
261713,0,1,23.95,0,1
261722,0,1,24.0442,0,1
261731,0,1,23.9186,0,1
261740,0,1,23.95,0,1
261749,0,1,24.107,0,1
261758,0,1,24.1698,0,1
261767,0,1,24.1698,0,1
261776,0,1,24.1384,0,1
261785,0,1,24.107,0,1
261794,0,1,24.2012,0,1
261803,0,1,24.2012,0,1
261812,0,1,24.2012,0,1
261821,0,1,24.2012,0,1
261830,0,1,24.107,0,1
261839,0,1,24.1698,0,1
261848,0,1,24.2012,0,1
261857,0,1,24.2326,0,1
261866,0,1,24.2012,0,1
261875,0,1,24.2012,0,1
261884,0,1,24.2012,0,1
261893,0,1,24.2326,0,1
261902,0,1,24.2012,0,1
261911,0,1,24.2012,0,1
261920,0,1,24.1698,0,1
261929,0,1,24.2012,0,1
261938,0,1,24.2012,0,1
261947,0,1,24.2326,0,1
261956,0,1,24.2012,0,1
261965,0,1,24.2012,0,1
261974,0,1,24.2012,0,1
261983,0,1,24.1698,0,1
261992,0,1,24.2012,0,1
262001,0,1,24.2326,0,1
262010,0,1,24.1698,0,1
262019,0,1,24.1698,0,1
262028,0,1,24.2012,0,1
262037,0,1,24.1384,0,1
262046,0,1,23.9814,0,1
262055,0,1,23.9186,0,1
262064,0,1,23.9186,0,1
262073,0,1,23.8872,0,1
262082,0,1,23.8872,0,1
262091,0,1,23.8872,0,1
262100,0,1,23.8872,0,1
262109,0,1,23.7616,0,1
262118,0,1,23.636,0,1
262127,0,1,23.636,0,1
262136,0,1,23.6046,0,1
262145,0,1,23.5732,0,1
262154,0,1,23.3534,0,1
262163,0,1,23.3534,0,1
262172,0,1,23.3534,0,1
262181,0,1,23.322,0,1
262190,0,1,23.3534,0,1
262199,0,1,23.2906,0,1
262208,0,1,23.0708,0,1
262217,0,1,23.0394,0,1
262226,0,1,23.008,0,1
262235,0,1,23.008,0,1
262244,0,1,22.9138,0,1
262253,0,1,22.7254,0,1
262262,0,1,22.7568,0,1
262271,0,1,22.7254,0,1
262280,0,1,22.7254,0,1
262289,0,1,22.4428,0,1
262298,0,1,22.4114,0,1
262307,0,1,22.4114,0,1
262316,0,1,22.4428,0,1
262325,0,1,22.4114,0,1
262334,0,1,22.2544,0,1
262343,0,1,22.1602,0,1
262352,0,1,22.1288,0,1
262361,0,1,22.1288,0,1
262370,0,1,22.1288,0,1
262379,0,1,22.0346,0,1
262388,0,1,21.8776,0,1
262397,0,1,21.8462,0,1
262406,0,1,21.8462,0,1
262415,0,1,21.8148,0,1
262424,0,1,21.6264,0,1
262433,0,1,21.5636,0,1
262442,0,1,21.5636,0,1
262451,0,1,21.5322,0,1
262460,0,1,21.5636,0,1
262469,0,1,21.438,0,1
262478,0,1,21.281,0,1
262487,0,1,21.281,0,1
262496,0,1,21.2496,0,1
262505,0,1,21.2496,0,1
262514,0,1,20.967,0,1
262523,0,1,20.967,0,1
262532,0,1,20.967,0,1
262541,0,1,20.9356,0,1
262550,0,1,20.9356,0,1
262559,0,1,20.9356,0,1
262568,0,1,20.653,0,1
262577,0,1,20.7158,0,1
262586,0,1,20.6844,0,1
262595,0,1,20.653,0,1
262604,0,1,20.653,0,1
262613,0,1,20.496,0,1
262622,0,1,20.653,0,1
262631,0,1,20.4018,0,1
262640,0,1,20.4018,0,1
262649,0,1,20.4018,0,1
262658,0,1,20.3704,0,1
262667,0,1,20.3704,0,1
262676,0,1,20.339,0,1
262685,0,1,20.3076,0,1
262694,0,1,20.1192,0,1
262703,0,1,20.0564,0,1
262712,0,1,20.0878,0,1
262721,0,1,20.0564,0,1
262730,0,1,20.025,0,1
262739,0,1,20.0564,0,1
262748,0,1,20.025,0,1
262757,0,1,20.0564,0,0
262766,0,1,19.8052,0,0
262775,0,1,19.8052,0,0
262784,0,1,19.8366,0,0
262793,0,1,19.8052,0,0
262802,0,1,19.8366,0,0
262811,0,1,19.8052,0,0
262820,0,1,19.8052,0,0
262829,0,1,19.8052,0,0
262838,0,1,19.8052,0,0
262847,0,1,19.7738,0,0
262856,0,1,19.7738,0,0
262865,0,1,19.7738,0,0
262874,0,1,19.7738,0,0
262883,0,1,19.7738,0,0
262892,0,1,19.7738,0,0
262901,0,1,19.7424,0,0
262910,0,1,19.7738,0,0
262919,0,1,19.7424,0,0
262928,0,1,19.7738,0,0
262937,0,1,19.7424,0,0
262946,0,1,19.7738,0,0
262955,0,1,19.6796,0,0
262964,0,1,19.6482,0,0
262973,0,1,19.6168,0,0
262982,0,1,19.554,0,0
262991,0,1,19.5854,0,0
263000,0,1,19.711,0,0
263009,0,1,19.5226,0,0
263018,0,1,19.4912,0,0
263027,0,1,19.4912,0,0
263036,0,1,19.4912,0,0
263045,0,1,19.554,0,0
263054,0,1,19.5226,0,0
263063,0,1,19.5854,0,0
263072,0,1,19.4912,0,0
263081,0,1,19.4912,0,0
263090,0,1,19.5854,0,0
263099,0,1,19.4598,0,0
263108,0,1,19.4912,0,0
263117,0,1,19.4912,0,0
263126,0,1,19.4912,0,0
263135,0,1,19.5854,0,0
263144,0,1,19.4598,0,0
263153,0,1,19.4912,0,0
263162,0,1,19.4912,0,0
263171,0,1,19.554,0,0
263180,0,1,19.6168,0,0
263189,0,1,19.711,0,0
263198,0,1,19.7738,0,0
263207,0,1,19.7738,0,0
263216,0,1,19.7738,0,0
263225,0,1,19.7738,0,0
263234,0,1,19.7738,0,0
263243,0,1,19.8052,0,0
263252,0,1,19.7738,0,0
263261,0,1,19.7738,0,0
263270,0,1,19.8052,0,0
263279,0,1,19.8052,0,0
263288,0,1,19.7738,0,0
263297,0,1,19.8052,0,0
263306,0,1,19.8052,0,0
263315,0,1,19.8052,0,0
263324,0,1,19.8052,0,0
263333,0,1,19.8052,0,0
263342,0,1,19.8052,0,0
263351,0,1,19.8052,0,0
263360,0,1,19.8994,0,0
263369,0,1,19.8366,0,0
263378,0,1,19.8052,0,0
263387,0,1,19.9308,0,0
263396,0,1,19.9936,0,0
263405,0,1,19.9622,0,0
263414,0,1,20.0564,0,0
263423,0,1,20.0878,0,0
