timestamp,PrimaryPLC.Peripheral/VBB1,PrimaryPLC.Peripheral/VBB2,PrimaryPLC.Peripheral/VBBS,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/MasterSlaveFail,PrimaryPLC.System.CANBusDrive/cSpreader/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cSteerA/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cSteerAngleA/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cSteerAngleA/SlaveNotOp,PrimaryPLC.System.CANBusDrive/cSteerAngleA/SlaveNotify,PrimaryPLC.System.CANBusDrive/cSteerAngleB/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cSteerAngleB/SlaveNotOp,PrimaryPLC.System.CANBusDrive/cSteerAngleC/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cSteerAngleC/SlaveNotOp,PrimaryPLC.System.CANBusDrive/cSteerAngleD/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cSteerAngleD/SlaveNotOp,PrimaryPLC.System.CANBusDrive/cSteerAngleD/SlaveNotify,PrimaryPLC.System.CANBusDrive/cSteerB/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cSteerC/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cSteerD/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cTransA/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cTransB/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cTransC/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cTransD/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotOp,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusDrive/cWinchAngleB/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cWinchAngleB/SlaveNotOp,PrimaryPLC.System.CANBusDrive/cWinchAngleB/SlaveNotify,PrimaryPLC.System.CANBusDrive/cWinchAngleC/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cWinchAngleC/SlaveNotOp,PrimaryPLC.System.CANBusDrive/cWinchAngleC/SlaveNotify,PrimaryPLC.System.CANBusDrive/cWinchAngleD/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cWinchAngleD/SlaveNotOp,PrimaryPLC.System.CANBusDrive/cWinchAngleD/SlaveNotify,PrimaryPLC.System.CANBusDrive/cWinchB/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cWinchC/SlaveAllowUp,PrimaryPLC.System.CANBusDrive/cWinchD/SlaveAllowUp,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH,PrimaryPLC.System.CANBusSystem/cBMSB/SlaveNotify,PrimaryPLC.System.Cabin/RepChanCache/Event,PrimaryPLC.System.SystemState/Event
2309604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2309606,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975846,,,0,,,,,,,,,,,,,6.0,0.776,,129.1,6.700012,0.756,1.0,,,
2309606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2309608,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2309608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309612,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975919,,,0,,,,,,,,,,,,,6.0,0.776,,129.1,6.799988,0.756,1.0,,,
2309614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2309614,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309614,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2309614,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309617,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975901,,,0,,,,,,,,,,,,,6.0,0.776,,129.1,6.600037,0.756,1.0,,,
2309619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2309619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2309619,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309623,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975937,,,0,,,,,,,,,,,,,6.100037,0.776,,129.1,6.700012,0.756,1.0,,,
2309624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
2309625,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2309628,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975883,,,0,,,,,,,,,,,,,6.0,0.776,,129.1,6.799988,0.756,1.0,,,
2309628,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309628,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2309632,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309635,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975864,,,0,,,,,,,,,,,,,6.200012,0.776,,129.1,6.900024,0.756,1.0,,,
2309635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309636,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2309637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2309637,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309640,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975883,,,0,,,,,,,,,,,,,13.79999,0.776,,129.1,13.29999,0.756,1.0,,,
2309641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2309642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2309643,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309645,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975864,,,0,,,,,,,,,,,,,14.70001,0.776,,129.0,15.79999,0.756,1.0,,,
2309648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
2309650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
2309650,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0333333,-0.975864,,,0,,,,,,,,,,,,,6.900024,0.776,,129.0,7.400024,0.756,1.0,,,
2309650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309651,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309651,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2309655,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2309657,,,,10.0,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,-0.975901,,,0,,,,,,,,,,,,,6.100037,0.776,,129.1,6.799988,0.756,1.0,,,
2309657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
2309660,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309660,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2309660,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
