identity,type,subsystem,value,alarm_state,severity,control,Suppress,override,servers,override_value,Override,style,allowable_system_state
PrimaryPLC.System.CANBusSystem/cBMSB/Voltage,ValObjReal,Machine,129.5,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/TtlDschrgEnergy,ValObjReal,Machine,0.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/TtlChrgEnergy,ValObjReal,Machine,0.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,ValObjUSINT,Machine,0,,,,,0,,0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/SOH,ValObjPercentage,Machine,0.996,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,ValObjReal,Machine,31.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,ValObjReal,Machine,29.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/SlaveAllowUp,AlarmAllowUp,Machine,,1,none,,0,,,,0,state,
PrimaryPLC.System.CANBusSystem/cBMSA/SlaveNoVldTrnms,AlarmAllowUp,Machine,,1,none,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSSOCMismatch,EscAlarm,Machine,,1,none,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSVoltMismatch,EscAlarm,Machine,,1,none,,0,,,,0,state,
